French,English
partie,part
seulement,only
demande,request
frère,brother
car,because
aucun,no
parlé,speak
arrivé,come
devrait,should
heures,hours
savais,knew
attention,Warning
voici,here is
leurs,their
donné,given
corps,body
écoute,listen
trouve,find
perdu,lost
première,first
pouvoir,power
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
minutes,minutes
demandé,request
mis,placed
aujourd'hui,today
parti,left
arrêter,Stop
terre,Earth
compte,account
loin,far
chérie,sweetheart
filles,girls
jouer,to play
bureau,office
